count,zip,to_date
1,02118,1984-06-25
1,02116,2001-07-12
1,02129,2001-07-24
1,02116,2002-06-29
1,02129,2002-12-10
1,02116,2005-03-03
1,02111,2005-03-10
1,02127,2012-04-06
5,02116,2012-04-07
1,02118,2012-04-07
1,02114,2012-04-07
1,02115,2012-04-07
2,02108,2012-04-07
1,02110,2012-04-07
1,02127,2012-04-07
1,02130,2012-04-07
1,02116,2012-04-08
2,02118,2012-04-08
2,02129,2012-04-08
1,02110,2012-04-09
1,02127,2012-04-09
1,02130,2012-04-09
1,02108,2012-04-09
1,02115,2012-04-10
1,02128,2012-04-10
2,0000 ,2012-04-10
1,02113,2012-04-10
3,02116,2012-04-10
1,02109,2012-04-10
1,02120,2012-04-10
2,02129,2012-04-10
4,02118,2012-04-10
2,02127,2012-04-10
2,02114,2012-04-10
1,02108,2012-04-11
1,02127,2012-04-11
5,02118,2012-04-11
1,02115,2012-04-11
1,02135,2012-04-11
1,02116,2012-04-11
1,02114,2012-04-11
2,02110,2012-04-12
3,02127,2012-04-12
3,02116,2012-04-12
2,02118,2012-04-12
2,02128,2012-04-12
3,02114,2012-04-12
2,02115,2012-04-12
1,02210,2012-04-13
1,02127,2012-04-13
3,02118,2012-04-13
1,02128,2012-04-13
1,02120,2012-04-13
1,02111,2012-04-13
1,02130,2012-04-13
1,02215,2012-04-13
5,02116,2012-04-13
2,02115,2012-04-13
4,02114,2012-04-13
5,02118,2012-04-14
1,02125,2012-04-14
2,02111,2012-04-14
2,02108,2012-04-14
2,02114,2012-04-14
4,02116,2012-04-14
2,02115,2012-04-14
6,02127,2012-04-14
4,02129,2012-04-14
1,02134,2012-04-14
1,02135,2012-04-14
1,02130,2012-04-14
1,02118,2012-04-15
4,02114,2012-04-15
1,02111,2012-04-15
2,02108,2012-04-15
1,02128,2012-04-15
2,02116,2012-04-15
2,02130,2012-04-15
1,02135,2012-04-15
2,02130,2012-04-16
1,02127,2012-04-16
1,02129,2012-04-16
1,02128,2012-04-16
1,02120,2012-04-16
3,02116,2012-04-16
1,02118,2012-04-16
2,02118,2012-04-17
4,02115,2012-04-17
1,02127,2012-04-17
2,02128,2012-04-17
1,02110,2012-04-17
2,02116,2012-04-17
1,02109,2012-04-17
5,02113,2012-04-17
1,02135,2012-04-17
5,02114,2012-04-17
1,02108,2012-04-17
1,02110,2012-04-18
1,02215,2012-04-18
1,02108,2012-04-18
5,02116,2012-04-18
1,02125,2012-04-18
1,02109,2012-04-18
1,02113,2012-04-18
3,02127,2012-04-18
3,02114,2012-04-18
4,02118,2012-04-18
1,02110,2012-04-19
1,02135,2012-04-19
3,02116,2012-04-19
1,02118,2012-04-19
1,02113,2012-04-19
1,02111,2012-04-19
1,02115,2012-04-19
1,02129,2012-04-19
1,00nan,2012-04-20
4,02129,2012-04-20
3,02113,2012-04-20
3,02115,2012-04-20
1,02110,2012-04-20
1,02108,2012-04-20
7,02118,2012-04-20
2,02135,2012-04-20
5,02116,2012-04-20
8,02127,2012-04-20
1,02120,2012-04-20
2,02111,2012-04-20
1,02119,2012-04-20
2,02114,2012-04-20
1,02215,2012-04-20
1,02131,2012-04-21
4,02118,2012-04-21
1,02128,2012-04-21
10,02116,2012-04-21
1,02134,2012-04-21
4,02111,2012-04-21
1,02127,2012-04-21
2,02215,2012-04-21
3,02129,2012-04-21
1,02108,2012-04-21
1,02124,2012-04-21
3,02135,2012-04-21
1,02114,2012-04-21
2,02122,2012-04-21
1,02115,2012-04-21
8,02118,2012-04-22
1,02215,2012-04-22
1,02113,2012-04-22
1,02116,2012-04-22
2,02108,2012-04-23
4,02118,2012-04-23
1,02127,2012-04-23
1,02134,2012-04-23
2,02109,2012-04-23
1,02119,2012-04-23
8,02116,2012-04-23
1,02111,2012-04-23
2,02115,2012-04-23
1,02130,2012-04-23
2,02129,2012-04-23
1,02135,2012-04-23
3,02215,2012-04-23
1,02114,2012-04-24
1,02134,2012-04-24
2,02127,2012-04-24
4,02129,2012-04-24
2,02113,2012-04-24
1,02115,2012-04-24
6,02116,2012-04-24
8,02118,2012-04-24
1,02120,2012-04-25
2,02127,2012-04-25
3,02118,2012-04-25
1,02135,2012-04-25
1,02115,2012-04-25
3,02116,2012-04-25
5,02108,2012-04-25
2,02113,2012-04-26
2,02118,2012-04-26
2,02135,2012-04-26
1,02115,2012-04-26
1,02109,2012-04-26
2,02127,2012-04-26
1,02130,2012-04-26
2,02129,2012-04-26
2,02116,2012-04-26
4,02111,2012-04-26
4,02108,2012-04-27
1,00nan,2012-04-27
1,02135,2012-04-27
12,02116,2012-04-27
1,02127,2012-04-27
1,02134,2012-04-27
2,02114,2012-04-27
2,02109,2012-04-27
3,02111,2012-04-27
5,02130,2012-04-27
7,02129,2012-04-27
2,02115,2012-04-27
9,02118,2012-04-27
1,02110,2012-04-27
1,02113,2012-04-27
1,02125,2012-04-27
9,02129,2012-04-28
4,02135,2012-04-28
3,02115,2012-04-28
1,02210,2012-04-28
3,02114,2012-04-28
1,02111,2012-04-28
2,02134,2012-04-28
1,02130,2012-04-28
3,02215,2012-04-28
1,02113,2012-04-28
10,02118,2012-04-28
1,02110,2012-04-28
4,02127,2012-04-28
6,02116,2012-04-28
1,02108,2012-04-28
1,02135,2012-04-29
3,02118,2012-04-29
1,02108,2012-04-29
1,02215,2012-04-29
7,02116,2012-04-29
5,02129,2012-04-29
4,02130,2012-04-29
1,02115,2012-04-29
1,02134,2012-04-29
3,02113,2012-04-29
1,02111,2012-04-29
2,02109,2012-04-30
2,02134,2012-04-30
1,02125,2012-04-30
2,02129,2012-04-30
10,02118,2012-04-30
5,02215,2012-04-30
9,02116,2012-04-30
1,02135,2012-04-30
7,02127,2012-04-30
5,02113,2012-04-30
3,02108,2012-04-30
5,02115,2012-04-30
3,02114,2012-04-30
1,02131,2012-04-30
3,02130,2012-04-30
6,02215,2012-05-01
3,02109,2012-05-01
1,02114,2012-05-01
3,02108,2012-05-01
1,02121,2012-05-01
3,02130,2012-05-01
4,02113,2012-05-01
4,02118,2012-05-01
2,02128,2012-05-01
1,02132,2012-05-01
9,02115,2012-05-01
1,02119,2012-05-01
13,02116,2012-05-01
6,02127,2012-05-01
5,02129,2012-05-01
2,02215,2012-05-02
2,02113,2012-05-02
2,02130,2012-05-02
3,02129,2012-05-02
1,02114,2012-05-02
5,02118,2012-05-02
1,02127,2012-05-02
1,02136,2012-05-02
1,02116,2012-05-02
1,02115,2012-05-02
1,02108,2012-05-02
3,02114,2012-05-03
1,02108,2012-05-03
1,02134,2012-05-03
1,02127,2012-05-03
1,02120,2012-05-03
3,02118,2012-05-03
6,02116,2012-05-03
1,02122,2012-05-03
3,02113,2012-05-03
1,02128,2012-05-03
2,02115,2012-05-03
3,02129,2012-05-03
1,02135,2012-05-04
1,02134,2012-05-04
4,02114,2012-05-04
3,02113,2012-05-04
2,02111,2012-05-04
5,02130,2012-05-04
1,02120,2012-05-04
1,02110,2012-05-04
7,02116,2012-05-04
8,02118,2012-05-04
1,02215,2012-05-04
1,02124,2012-05-04
1,02127,2012-05-04
1,02129,2012-05-04
1,02108,2012-05-05
4,02114,2012-05-05
2,02134,2012-05-05
1,02120,2012-05-05
4,02215,2012-05-05
5,02118,2012-05-05
1,02115,2012-05-05
5,02130,2012-05-05
1,02129,2012-05-05
2,02135,2012-05-05
4,02116,2012-05-05
2,02113,2012-05-05
1,02128,2012-05-06
1,02113,2012-05-06
5,02130,2012-05-06
1,02129,2012-05-06
1,02134,2012-05-06
1,02131,2012-05-06
1,02118,2012-05-06
2,02116,2012-05-06
1,02114,2012-05-06
2,02129,2012-05-07
1,02116,2012-05-07
2,02115,2012-05-07
1,02118,2012-05-07
1,02114,2012-05-07
1,02215,2012-05-07
2,02130,2012-05-07
3,02115,2012-05-08
1,02113,2012-05-08
2,02108,2012-05-08
1,02111,2012-05-08
1,02127,2012-05-08
7,02114,2012-05-08
2,02130,2012-05-08
1,02124,2012-05-08
1,02215,2012-05-08
1,02132,2012-05-08
1,02135,2012-05-08
7,02116,2012-05-08
6,02118,2012-05-08
1,02134,2012-05-09
2,02116,2012-05-09
1,02113,2012-05-09
3,02114,2012-05-09
3,02118,2012-05-09
1,02115,2012-05-09
1,02135,2012-05-09
2,02215,2012-05-09
2,02130,2012-05-09
1,02115,2012-05-10
1,02127,2012-05-10
